Item,Vendor,Vendor Name,Description,Facility,Daily Movement,Days Supply,Cases In House,Pallets In House
3595009,7031,LA MIXER,CACTUS LEAF TRAY,8-Produce,3,10.0,30,3
3595552,7172,#MULTIVALUE,CUCUMBERS ENG/EUROPE HH,8-Produce,181,2.3,418,4
3595662,7153,VARIETY PEPPERS,PEPPERS POBLANO,8-Produce,42,1.6,69,2
3595664,7153,VARIETY PEPPERS,PEPPERS SERRANO GREEN,8-Produce,72,1.0,73,2
3595667,6709,#MULTIVALUE,PEPPERS BELL YELLOW SWT,8-Produce,70,7.3,508,9
3595689,7101,DRY VEG MIXER,SQUASH ZUCCHINI,8-Produce,151,2.5,371,8
3595704,9225,#MULTIVALUE,TOMATOES BUNCHED,8-Produce,399,3.2,"1,279",14
3595705,7250,WESCOB FG TOMATOES,TOMATOES ROMA LUG,8-Produce,506,1.8,928,12
3596050,7153,VARIETY PEPPERS,CHILE DRD ANCHO POD,8-Produce,1,3.0,3,1
3596130,7153,VARIETY PEPPERS,TOMATILLOS,8-Produce,27,1.5,40,2
3596133,7153,VARIETY PEPPERS,PEPPERS JALAPENO,8-Produce,79,1.5,117,4
3596288,6709,#MULTIVALUE,PEPPERS BELL RED GRNHOUSE,8-Produce,248,5.2,"1,280",19
3596289,6709,#MULTIVALUE,PEPPERS ORANGE HOLLAND,8-Produce,78,8.5,662,10
3596372,7101,DRY VEG MIXER,SQUASH SPAGHETTI ORGNC,8-Produce,3,4.3,13,1
3596611,7031,LA MIXER,THAI PEPPER TRAY,8-Produce,2,6.0,12,2
3596632,7101,DRY VEG MIXER,BEANS GREEN RPC,8-Produce,23,4.1,95,4
3596735,7101,DRY VEG MIXER,SQUASH YELLOW S/N,8-Produce,100,0.7,68,2
3596900,9225,#MULTIVALUE,PRSL TOMATOES CAMPARI OTV,8-Produce,83,0.7,55,1
3596980,7250,WESCOB FG TOMATOES,KRO GRAPE TOMATOES,8-Produce,99,3.8,378,6
3597034,7172,#MULTIVALUE,TOMATOES HYDROPONIC,8-Produce,136,1.7,233,4
3597056,7031,LA MIXER,GAI LAN IN A BAG,8-Produce,2,7.5,15,2
3597228,7031,LA MIXER,YU CHOY TRAY,8-Produce,2,2.5,5,1
3598145,7031,LA MIXER,NAPA LEAVES BAG,8-Produce,2,3.0,6,1
