Wskusku,Description,Location,High,Tie,Case Height,Case Depth,Case Width,Case Weight
3500254,BUSH RS PINTO BEANS           ,G4AS02              ,7,17,4.50,12.10,9.10,13.80
3506765,PRSL JRRD PLM HRTS IN BRN     ,G4AS12              ,7,26,4.50,10.50,7.00,9.65
3504829,RNCH STYL PINTO BEANS         ,G4AS22              ,5,15,4.50,12.50,9.10,13.10
3502999,TRAP BLACKEYE PEAS W/BACN     ,G4AS24              ,8,17,4.50,9.00,9.00,13.31
3505723,KRO NS GRDN TNDR SPINACH      ,G4AS34              ,7,17,4.50,12.06,9.06,12.89
3501070,BUSH GRLLN STEAKHOUSE BNS     ,G4AT02              ,7,14,4.60,13.70,10.20,19.70
3501069,BUSH GRLLN STHRN BBQ BEAN     ,G4AT12              ,6,14,4.60,13.70,10.20,19.70
3500059,BRCE CUT YAMS IN LT SYRUP     ,G4AT22              ,8,17,4.50,12.00,9.25,14.40
3500557,KRO CLSC CRM MSHROOM SOUP     ,G4AT32              ,6,14,5.81,13.50,10.13,22.60
3500615,GLORY HONEY DIPPD CARROTS     ,G4AT34              ,7,17,4.50,12.06,9.06,14.00
3501200,KRO WHOLE BEETS               ,G4BB02              ,8,17,4.50,12.00,9.25,13.50
3500349,KRO DRK RD KIDNEY BNS NSA     ,G4BB04              ,7,17,4.50,12.00,9.00,13.60
3500975,DELMNT 50%LS GREEN BEANS      ,G4BB12              ,8,17,4.50,12.10,9.10,13.00
3596718,MRGL ORGANIC TOMATO           ,G4BB14              ,10,10,3.12,16.06,10.87,14.32
3502126,CNTD TOMATO PASTE             ,G4BB22              ,8,20,4.25,8.75,10.88,16.00
3501759,HNTS STEWED TOMATOES          ,G4BB24              ,4,16,4.50,12.20,9.10,12.70
3502963,KRO FIRE RSTD DCD TOMATOS     ,G4BB32              ,7,17,4.50,12.25,9.13,13.00
3506078,DELMNT WHTGLD SWT CRN         ,G4BB34              ,9,15,3.63,13.00,9.87,10.20
3503110,KRO NS GARDEN SWEET PEAS      ,G4BB53              ,5,17,9.00,12.00,9.00,27.00
3500601,KRO CUT GREEN BEANS           ,G4BB63              ,5,17,9.13,12.25,9.25,26.00
3500604,KRO WHL KRN GLDN CORN         ,G4BB73              ,5,17,9.13,12.25,9.25,26.00
3502965,DELMNT WHL KRNL GLDN CORN     ,G4BB83              ,6,17,9.00,12.00,9.00,26.90
3500489,CMIA MRNTED ARTCHK HEARTS     ,G4BC02              ,8,11,4.25,13.75,10.38,18.50
3500338,GRNGNT MEXICORN               ,G4BC04              ,10,15,3.61,12.83,9.68,10.50
3502061,BUSH BLACK BEANS              ,G4BC12              ,8,17,4.50,12.10,9.10,13.00
3505792,KRO BLACK BEANS NSA           ,G4BC22              ,7,17,4.63,12.00,9.25,13.70
3503899,CAMP SPAGHETTIO PRINCESS      ,G4BC24              ,8,15,4.31,12.75,9.50,13.80
3506656,ROTEL DCD GRN CHL TOMATO      ,G4BC32              ,9,10,4.50,10.75,8.25,15.00
3503065,DELMNT DICED NEW POTATOES     ,G4BC34              ,4,17,4.50,12.20,9.10,13.00
3502992,DELMNT CUT GREEN BEANS        ,G4BC53              ,6,17,9.00,12.00,9.00,26.00
3505202,SMRTWY WHL KRNL CORN          ,G4BC63              ,5,17,9.13,12.25,9.25,26.00
3500584,KRO FS GREEN BEANS            ,G4BC73              ,5,17,9.13,12.25,9.25,26.00
3502990,DELMNT NS WHL KRNL CORN       ,G4BC83              ,6,17,9.00,12.00,9.00,26.90
3502967,DELMNT WHOLE KRNL WHT CRN     ,G4BD02              ,6,17,4.50,12.00,9.00,13.00
3501330,REDGLD CRUSHED TOMATOES       ,G4BD04              ,6,17,4.50,12.00,9.00,14.00
3501281,KRO NSA PET DCD TOMATOES      ,G4BD12              ,4,17,9.00,12.00,9.00,25.60
3582832,STO CRUSHED TOMATOES NSA      ,G4BD14              ,6,17,4.50,12.25,9.13,13.00
3505718,KRO COUNTRY BAKED BEANS       ,G4BD22              ,7,17,4.63,12.13,9.00,13.40
3500475,KRO PINTO BEANS               ,G4BD24              ,7,17,4.50,12.00,9.00,13.60
3505206,SMRTWY CUT GREEN BEANS        ,G4BD32              ,4,17,9.13,12.25,9.25,26.00
3502627,HNTS FIRE ROASTED T           ,G4BD34              ,3,16,4.57,12.19,9.13,12.79
3504063,SSAM CUT YAMS                 ,G4BD53              ,6,10,6.30,16.20,12.10,37.00
3505782,KRO SWEET SPCY BKD BEANS      ,G4BD63              ,8,14,5.81,13.50,10.13,24.00
3503126,KRO WHOLE WHITE POTATOES      ,G4BD73              ,5,17,9.00,12.00,9.00,27.00
3500670,DM FIESTA CORN                ,G4BD83              ,12,17,4.56,12.13,9.13,13.25
3504522,VCMP BEANEE WEENEE            ,G4BF02              ,10,9,3.20,16.00,11.00,14.60
3503484,BUSH MPL CRD BCN BKD BEAN     ,G4BF12              ,10,14,3.60,13.75,10.25,13.80
3501232,REDGLD STEWED TOMATOES        ,G4BF14              ,4,17,4.50,12.00,9.00,13.00
3507649,HNTS PETITE DICED TOMATO      ,G4BF22              ,7,16,4.50,12.00,9.00,12.10
3503772,REDGLD PET DC GRN CHL TOM     ,G4BF24              ,7,17,4.50,12.00,9.00,13.00
3501907,BUSH GOLDEN HOMINY            ,G4BF32              ,6,17,4.50,12.10,9.10,13.40
3505927,HNTS NS PETITE DICED TMTO     ,G4BF34              ,7,16,4.56,12.25,9.13,12.70
3503955,DELMNT SWEET PEAS             ,G4BF53              ,5,17,9.00,12.00,9.00,26.50
3501530,KRO CUT YAMS IN SYRUP         ,G4BF73              ,5,10,6.75,16.00,12.00,37.00
3502896,KRO CUT XTR GRN BEANS         ,G4BF83              ,5,17,9.13,12.25,9.25,26.00
3500095,KRO NS TOMATO SAUCE           ,G4BG02              ,11,10,3.16,16.28,10.79,14.80
3502067,BUSH SEASONED BLACK BEANS     ,G4BG04              ,6,17,4.50,12.10,9.10,13.00
3500305,GRNGNT WHITE SHOEPEG CORN     ,G4BG12              ,10,15,3.61,12.83,9.68,10.50
3504795,REDGLD DICED TOMATOES         ,G4BG14              ,6,17,4.10,12.10,9.10,13.00
3501215,KRO TOMATO PASTE              ,G4BG22              ,7,10,4.29,16.34,10.72,21.30
3503599,REDGLD DCD CHILI RDY TOM      ,G4BG24              ,7,17,4.50,12.00,9.00,13.00
3500933,ROTEL DCD HOT HABNERO TOM     ,G4BG32              ,8,20,4.40,11.20,8.30,9.50
3505788,KRO RED BEANS                 ,G4BG34              ,7,17,4.50,12.00,9.00,13.20
3591104,STO NS CRUSHED TOMATOES       ,G4BG53              ,6,10,5.20,16.10,12.10,26.00
3501986,DELMNT SLC CRRTS HOT HNY      ,G4BG73              ,12,17,4.56,12.38,9.13,12.88
3501773,DELMNT FS GREEN BEANS         ,G4BG83              ,11,7,4.78,18.64,12.51,26.20
3502581,VEGALL MIXED VEGETABLES       ,G4BH02              ,7,10,4.75,16.25,12.81,24.90
3501919,BUSH WHITE HOMINY             ,G4BH04              ,7,17,4.50,12.10,9.10,13.40
